	CN-1-1	CN-1-2	CN-1-3	CN-1-4	CN-1-5	CN-1-6
Max Permitted Residential Density[1]	3000	1500	1500	1000	600	800
Supplemental Residential Regulations [See Section 131.0540]	applies	applies	applies	applies	applies	applies
Lot Area\Min Lot Area (sf)	2500	5000	5000	2500	2500	2500
Lot Area\Max Lot Area (ac)	0.3	10	10	0.3	0.3	0.3
Lot Dimensions\Min Lot Width (ft)	25	50	50	25	25	25
Lot Dimensions\Min Street Frontage (ft)	25	50	50	25	25	25
Lot Dimensions\Min Lot Depth (ft)	100	--	--	--	--	--
Setback Requirements\Min Front Setback (ft) [See Section 131.0543(a)][5]	--	--	--	--	--	--
Setback Requirements\Max Front Setback (ft) [See Section 131.0543(a)][5]	10(2)	--	10(2)	10(2)	10(2)	10(2)
Setback Requirements\Min Side Setback (ft)[See Section 131.0543(b)][5]	10	10	10	10	10	10
Setback Requirements\Optional Side Setback (ft) [See Section 131.0543(b)][5]	0	0	0	0	0	0
Setback Requirements\Side Setback Abutting Residential [See Section 131.0543(c)]	applies	applies	applies	applies	applies	applies
Setback Requirements\Min Street Side Setback (ft) [See Section 131.0543(a)]	--	--	--	--	--	--
Setback Requirements\Max Street Side Setback (ft) [See Section 131.0543(a)]	10(2)	--	10(2)	10(2)	10(2)	10(2)
Setback Requirements\Min Rear Setback (ft) [See Section 131.0543(b)]	10	10	10	10	10	10
Setback Requirements\Optional Rear Setback (ft) [See Section 131.0543(b)]	0	0	0	0	0	0
Setback Requirements\Rear Setback Abutting Residential [See Section 131.0543(c)]	applies	applies	applies	applies	applies	applies
Max Structure Height (ft)	30	30	30	65	65	65
Max Floor Area Ratio	1.0(3)(4)	1.0(3)(4)	1.0(3)(4)	1.0(3)(4)	1.0(3)(4)	1.0(3)(4)
Floor Area Ratio Bonus for Residential Mixed Use [See Section 131.0546(a)]	0.5	0.75	0.75	1.2	1.2	1.2
Minimum Floor Area Ratio for Residential Use	0.5	0.38	0.38	0.6	0.6	0.6
Ground-floor Height [See Section 131.0548]	--	--	--	applies	applies	applies
Pedestrian Paths [See Section 131.0550]	applies	applies	applies	applies	applies	applies
Transparency [See Section 131.0552]	applies	--	applies	applies	applies	applies
Building Articulation [See Section 131.0554]	applies	applies	applies	applies	applies	applies
Refuse and Recyclable Material Storage [See Section 142.0805]	applies	applies	applies	applies	applies	applies
Loading Dock and Overhead Door Screening Regulations [See Section 142.1030]	applies	applies	applies	applies	applies	applies
Visibility Area [See Section 113.0273]	applies	applies	applies	applies	applies	applies