	RM-1-1	RM-1-2	RM-1-3	RM-2-4	RM-2-5	RM-2-6	RM-3-7	RM-3-8	RM-3-9	RM-4-10	RM-4-11	RM-5-12
Maximum permitted density(1)(2) (sf per DU)	3,000	2,500	2,000	1,750	1,500	1,250	1,000	800	600	400	200	1,000(36)
Min lot area (sf)	6,000	6,000	6,000	6,000	6,000	6,000	7,000	7,000	7,000	7,000	7,000	10,000											
Min lot dimensions\Min Lot width (ft)	50	50	50	50	50	50	70	70	70	100	100	100
Min lot dimensions\Min Street frontage (ft) [See Section 131.0442(a)]	50	50	50	50	50	50	70	70	70	100	100	100
Min lot dimensions\Min Lot width (corner) (ft)	55	55	55	55	55	55	75	75	75	100	100	100
Min lot dimensions\Min Lot depth (ft)	90	90	90	90	90	90	100	100	100	100	100	100											
Setback requirements\Min Front setback (ft)	15(3)	15(3)	15(3)	15(7)	15(7)	15(7)	10(11)	10(11)	10(11)	varies(14)	varies(14)	15(30)
Setback requirements\Std Front Setback (ft)	20(3)	20(3)	20(3)	20(7)	20(7)	20(7)	20(11)	20(11)	20(11)	varies(14)	varies(14)	15(30)
Setback requirements\Min Side setback (ft)	5(4)	5(4)	5(4)	5(8)	5(8)	5(8)	5(12)	5(12)	5(12)	varies(14)	varies(14)	4(31)
Setback requirements\Std Side Setback (ft)	8(4)	8(4)	8(4)	-	-	-	-	-	-	-	-	-
Setback requirements\Min Street side setback(ft)	10(5)	10(5)	10(5)	10(9)	10(9)	10(9)	10(13)	10(13)	10(13)	varies(14)	varies(14)	10(32)
Setback requirements\Min Rear setback (ft)	15(6)	15(6)	15(6)	15(10)	15(10)	15(10)	5	5	5	varies(14)	varies(14)	15(33)
Setback requirements for resubdivided corner lots [See Section 113.0246(f)]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	-
Max structure height (ft)	30(17)	30(17)	30(17)	40(18)(37)	40(18)(37)	40(18)(37)	40(37)	50(37)	60(37)	-(37)	-(37)	-(37)
Max lot coverage	-	-	-	-	-	-	-	-	-	applies(21)	applies(21)	applies(34)
Max floor area ratio	0.75	0.90(19)	1.05(19)	1.20(19,29)	1.35(19)	1.50(19)	1.80(20)	2.25(20)	2.70(20)	3.60(20)	7.20(20)	1.80(20)(35)
Accessory uses and structures [See Section 131.0448]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies
Ground-floor Height [See Section 131.0451]	-	-	-	-	-	-	-	applies	applies	applies	applies	applies
Lot consolidation regulations [See Section 131.0453(a)]	applies	applies	-	-	-	-	-	-	-	-	-	-
Storage requirements [See Section 131.0454]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	Applies
Private exterior open space	applies(22)	applies(22)	applies(22)	applies(23)	applies(23)	applies(23)	applies(24)	applies(24)	applies(24)	applies(25)	applies(25)	applies(25)
Common open space [See Section 131.0456]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies
Architectural projections and encroachments	Permitted(15)	Permitted(15)	Permitted(15)	Permitted(16)	Permitted(16)	Permitted(16)	Permitted(16)	Permitted(16)	Permitted(16)	Permitted(16)	Permitted(16)	Permitted(16)
Supplemental requirements	applies(26)	applies(26)	applies(26)	applies(27)	applies(27)	applies(27)	applies(28)	applies(28)	applies(28)	-	-	-
Refuse and Recyclable Material Storage [See Section 142.0805]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies
Visibility Area [See Section 113.0273]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies